Filled container:
Polar: (0.13466, -4.99726e+06); Function value = 0.203255
Polar: (1.29595, -4.97997e+06); Function value = 1.33419
Polar: (0.20209, -4.97561e+06); Function value = -0.251642
Polar: (0.19395, -4.99932e+06); Function value = 0.238679
Polar: (1.7921, -4.98964e+06); Function value = -1.89377
Polar: (1.6742, -4.98585e+06); Function value = -3.22824
Polar: (0.32586, -4.98611e+06); Function value = -0.370664
Polar: (1.23147, -4.98128e+06); Function value = -6.32154
Polar: (0.19614, -4.98705e+06); Function value = -0.222215
Polar: (0.25936, -4.97934e+06); Function value = 0.261911
Polar: (1.29186, -4.98158e+06); Function value = -2.02835
Polar: (1.26372, -4.97948e+06); Function value = 1.37614
Polar: (0.17792, -4.97751e+06); Function value = -0.179087
Polar: (1.8891, -4.97085e+06); Function value = -2.29281
Polar: (1.13464, -4.9833e+06); Function value = -1.67089
Polar: (1.1886, -4.9777e+06); Function value = 10.0302
Polar: (0.1657, -4.98588e+06); Function value = -0.551489
Polar: (0.5128, -4.96972e+06); Function value = -0.518163
Polar: (1.19406, -4.98997e+06); Function value = -1.3083
Polar: (0.3209, -4.99753e+06); Function value = 0.465242
Polar: (0.13485, -4.98777e+06); Function value = -0.197698
Polar: (1.32231, -4.9965e+06); Function value = -4.40482
Polar: (0.17317, -4.99e+06); Function value = -0.173611
Polar: (0.4824, -4.97961e+06); Function value = -14.9271
Polar: (1.2636, -4.98742e+06); Function value = -18.3596
Polar: (1.14409, -4.99691e+06); Function value = -1.76932
Polar: (0.16222, -4.97375e+06); Function value = -0.225827
Polar: (1.4571, -4.99251e+06); Function value = 5.20461
Polar: (1.31871, -4.9972e+06); Function value = -1.33439
Polar: (1.15969, -4.98521e+06); Function value = 1.16226
Polar: (0.2425, -4.97865e+06); Function value = -0.251379
Polar: (0.27747, -4.98287e+06); Function value = 10.0028
Polar: (1.24, -4.98435e+06); Function value = -5.08026
Polar: (1.1603, -4.99097e+06); Function value = -11.4368
Polar: (0.9145, -4.97037e+06); Function value = 0.920442
Polar: (0.129, -4.98433e+06); Function value = 0.129969
