Container without elements that are less than average:
Polar: (0.13466, -4.99726e+06); Function value = 0.203255
Polar: (1.29595, -4.97997e+06); Function value = 1.33419
Polar: (0.19395, -4.99932e+06); Function value = 0.238679
Polar: (0.25936, -4.97934e+06); Function value = 0.261911
Polar: (1.26372, -4.97948e+06); Function value = 1.37614
Polar: (0.17792, -4.97751e+06); Function value = -0.179087
Polar: (1.1886, -4.9777e+06); Function value = 10.0302
Polar: (0.3209, -4.99753e+06); Function value = 0.465242
Polar: (0.13485, -4.98777e+06); Function value = -0.197698
Polar: (0.17317, -4.99e+06); Function value = -0.173611
Polar: (1.4571, -4.99251e+06); Function value = 5.20461
Polar: (1.15969, -4.98521e+06); Function value = 1.16226
Polar: (0.27747, -4.98287e+06); Function value = 10.0028
Polar: (0.9145, -4.97037e+06); Function value = 0.920442
Polar: (0.129, -4.98433e+06); Function value = 0.129969
Polar: (0.8446, -4.98159e+06); Function value = 0.900122
Polar: (1.10929, -4.97303e+06); Function value = 2.25044
Polar: (1.26105, -4.96831e+06); Function value = 3.1019
Polar: (0.18316, -4.99565e+06); Function value = 0.723611
Polar: (1.15712, -4.97861e+06); Function value = 2.79751
Polar: (1.11979, -4.99544e+06); Function value = 1.85347
Polar: (0.10141, -4.97172e+06); Function value = -0.102495
Polar: (1.24305, -4.98305e+06); Function value = 23.9071
Polar: (0.17386, -4.98397e+06); Function value = 0.174698
Polar: (1.2154, -4.96976e+06); Function value = 1.55547
Polar: (1.9461, -4.97043e+06); Function value = 2.06627
Polar: (0.4594, -4.97136e+06); Function value = 0.489481
Polar: (0.13493, -4.99318e+06); Function value = -0.136855
Polar: (0.2526, -4.9898e+06); Function value = 0.257502
Polar: (1.26456, -4.99366e+06); Function value = 1.4687
Polar: (0.10206, -4.97061e+06); Function value = 0.269326
Polar: (0.12221, -4.97736e+06); Function value = 0.12683
Polar: (0.11995, -4.9855e+06); Function value = 0.268012
Polar: (0.174, -4.99784e+06); Function value = 0.365681
Polar: (1.17221, -4.98744e+06); Function value = 1.39037
Polar: (0.17846, -4.97957e+06); Function value = -0.200727
Polar: (1.1306, -4.97155e+06); Function value = 1.13107
Polar: (1.21225, -4.99732e+06); Function value = 1.46844
Polar: (1.11245, -4.99268e+06); Function value = 4.19716
Polar: (0.21377, -4.97672e+06); Function value = 0.404649
Polar: (0.13929, -4.97498e+06); Function value = 0.140218
Polar: (0.7309, -4.98914e+06); Function value = 2.26824
Polar: (0.27322, -4.99781e+06); Function value = 0.858477
Polar: (1.2072, -4.98453e+06); Function value = 2.72308
Polar: (1.17879, -4.99887e+06); Function value = 1.23718
Polar: (1.27151, -4.97132e+06); Function value = 4.44078
Polar: (1.408, -4.97295e+06); Function value = 3.77943
Polar: (0.21224, -4.96918e+06); Function value = 0.221234
Polar: (1.10648, -4.97253e+06); Function value = 11.0553
